int,int,enum,enum,float,float,int,enum,enum,int,enum,int,enum,string,string
1011,1010,E_DAMAGE,E_ATK,1.2,1.5,1,E_BLEED,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 120% 피해를 입히고, 출혈을 부여한다.""","""없음"""
1012,1011,E_DAMAGE,E_ATK,0.9,1.1,2,E_NONE,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 90% 피해를 2회 입힌다.""","""없음"""
1013,1012,E_INCREASE,E_SPEED,3,5,1,E_NONE,E_CARD_USE,0,E_SELF,1,E_SPEED,"""본인의 속도가 3 증가하고, (카드를 1장 드로우한다.)""","""없음"""
1014,1012,E_DRAW,E_DECK,1,1,0,E_NONE,E_CARD_USE,0,E_SELF,0,E_DECK,"""(본인의 속도가 3 증가하고,) 카드를 1장 드로우한다.""","""없음"""
1015,1013,E_DAMAGE,E_ATK,1,1.3,1,E_NONE,E_CARD_USE,0,E_ENEMY,99,E_HP,"""적 전체에게 공격력의 100% 피해를 입힌다.""","""없음"""
1016,1014,E_SHIELD,E_DEF,0.3,0.5,1,E_NONE,E_CARD_USE,0,E_ALLIES,1,E_DEF,"""아군 1명에게 방어력의 30%만큼의 실드를 제공한다.""","""없음"""
1017,1015,E_DAMAGE,E_ATK,1,1.2,1,E_SHOCK,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 100% 피해를 입히고, 쇼크 스택을 부여한다.""","""없음"""
1018,1016,E_DAMAGE,E_ATK,0.8,1,1,E_NONE,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 80%의 피해를 입힌다.""","""없음"""
1019,1017,E_DAMAGE,E_NONE,0,0,1,E_SHOCK,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 쇼크 스택을 부여한다.""","""없음"""
1020,1018,E_DAMAGE,E_NONE,0,0,1,E_OVERLOAD,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 오버로드를 부여한다.""","""없음"""
1021,1019,E_DAMAGE,E_ATK,0.8,1,1,E_NONE,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 80%의 피해를 입힌다. (쇼크 상태일 경우 추가 공격이 발생한다.)""","""없음"""
1022,1019,E_CONDITIONAL_DAMAGE,E_ATK,0.2,0.2,1,E_NONE,E_ON_TARGET_HAS_SHOCK,1,E_ENEMY,1,E_HP,"""(적 1명에게 공격력의 80%의 피해를 입힌다.) 쇼크 상태일 경우 추가 공격이 발생한다.""","""없음"""
1023,1020,E_DAMAGE,E_ATK,0.6,0.8,1,E_SHOCK,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 60%의 피해를 입히고, 쇼크 스택을 부여한다.""","""없음"""
1024,1021,E_DAMAGE,E_ATK,1.2,1.5,1,E_OVERLOAD,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 120%의 피해를 입히고, 오버로드를 부여한다.""","""없음"""
1025,1022,E_DAMAGE,E_ATK,0.7,1,1,E_NONE,E_CARD_USE,0,E_ENEMY,1,E_HP,"""적 1명에게 공격력의 70%의 피해를 입힌다. (쇼크 상태일 경우 오버로드를 부여한다.)""","""없음"""
1026,1022,E_CONDITIONAL_DAMAGE,E_ATK,0,0,1,E_OVERLOAD,E_ON_TARGET_HAS_SHOCK,1,E_ENEMY,1,E_HP,"""(적 1명에게 공격력의 70%의 피해를 입힌다.) 쇼크 상태일 경우 오버로드를 부여한다.""","""없음"""
1027,1023,E_DAMAGE,E_ATK,0.6,0.9,1,E_NONE,E_CARD_USE,0,E_ENEMY,99,E_HP,"""모든 적에게 공격력의 60%의 피해를 입힌다. (쇼크 상태일 경우 추가 공격이 발생한다.)""","""없음"""
1022,1023,E_CONDITIONAL_DAMAGE,E_ATK,0.4,0.6,1,E_NONE,E_ON_TARGET_HAS_SHOCK,1,E_ENEMY,99,E_HP,"""(모든 적에게 공격력의 60%의 피해를 입힌다.) 쇼크 상태일 경우 추가 공격이 발생한다.""","""없음"""
