ID,SkillType,SkillSource,EffectValue,UpgradeEffectValue,StatusType,Trigger,TargetType,TargetCount,HitCount,#CardText,#NextSkillID,Sound
21,E_APPLY_DEBUFF,E_NONE,1,1,E_OVERLOAD,E_CARD_USE,E_SINGLE_ENEMY,1,1,"적 1명에게 오버로트를 부여한다.",0,"없음"
22,E_DAMAGE,E_ATK,0.8,1,E_NONE,E_CARD_USE,E_SINGLE_ENEMY,1,1,"적 1명에게 공격력의 80%의 피해를 입힌다. (쇼크 상태일 경우 추가 공격이 발생한다.)",23,"없음"
23,E_DAMAGE,E_ATK,0.2,0.2,E_NONE,E_ON_TARGET_HAS_SHOCK,E_SINGLE_ENEMY,1,1,"(적 1명에게 공격력의 80%의 피해를 입힌다.) 쇼크 상태일 경우 추가 공격이 발생한다.",0,"없음"
24,E_DAMAGE,E_ATK,0.6,0.8,E_NONE,E_CARD_USE,E_SINGLE_ENEMY,1,1,"적 1명에게 60%의 피해를 입히고 (쇼크 스택을 부여한다.)",25,"없음"
25,E_APPLY_DEBUFF,E_NONE,1,1,E_SHOCK,E_CARD_USE,E_SINGLE_ENEMY,1,1,"(적 1명에게 60%의 피해를 입히고) 쇼크 스택을 부여한다.",0,"없음"
26,E_DAMAGE,E_ATK,1.2,1.5,E_NONE,E_CARD_USE,E_SINGLE_ENEMY,1,1,"적 1명에게 120%의 피해를 입히고, (오버로드를 부여한다.)",27,"없음"
27,E_APPLY_DEBUFF,E_NONE,1,1,E_OVERLOAD,E_CARD_USE,E_SINGLE_ENEMY,1,1,"(적 1명에게 120%의 피해를 입히고,) 오버로드를 부여한다.",0,"없음"
28,E_DAMAGE,E_ATK,0.7,1,E_NONE,E_CARD_USE,E_SINGLE_ENEMY,1,1,"적 1명에게 공격력의 70%의 피해를 입힌다. (쇼크 상태일 경우 오버로드를 부여한다.)",29,"없음"
29,E_APPLY_DEBUFF,E_NONE,1,1,E_OVERLOAD,E_ON_TARGET_HAS_SHOCK,E_SINGLE_ENEMY,1,1,"(적 1명에게 공격력의 70%의 피해를 입힌다.) 쇼크 상태일 경우 오버로드를 부여한다.",0,"없음"
30,E_DAMAGE,E_ATK,0.6,0.9,E_NONE,E_CARD_USE,E_ALL_ENEMIES,99,1,"모든 적에게 공격력의 60%의 피해를 입힌다. (쇼크 상태일 경우 추가 공격이 발생한다.)",31,"없음"
31,E_DAMAGE,E_ATK,0.4,0.6,E_NONE,E_ON_TARGET_HAS_SHOCK,E_ALL_ENEMIES,99,1,"(모든 적에게 공격력의 60%의 피해를 입힌다.) 쇼크 상태일 경우 추가 공격이 발생한다.",0,"없음"
0,E_DEFAULT,E_NONE,0,0,E_NONE,E_DEFAULT,E_NONE,0,0,"없음",0,"없음"
